image_id,asymmetry,colour,dots
PAT_31_42_680.png,1.0,1.0,0.0
PAT_38_1002_668.png,0.0,1.0,0.0
PAT_50_76_728.png,0.0,1.0,0.0
PAT_51_78_959.png,2.0,3.0,0.0
PAT_145_216_924.png,0.0,4.0,0.0
PAT_165_256_460.png,0.0,1.0,0.0
PAT_166_257_586.png,0.0,1.0,0.0
PAT_181_280_417.png,0.0,1.0,0.0
PAT_187_287_482.png,0.0,1.0,0.0
PAT_217_1291_419.png,0.0,1.0,0.0
PAT_233_354_828.png,0.0,1.0,0.0
PAT_257_396_494.png,0.0,3.0,0.0
PAT_263_403_382.png,0.0,1.0,0.0
PAT_295_639_240.png,0.0,1.0,0.0
PAT_303_652_943.png,0.0,1.0,0.0
PAT_308_661_184.png,1.0,1.0,0.0
PAT_323_686_356.png,0.0,4.0,0.0
PAT_334_703_907.png,0.0,1.0,0.0
PAT_360_742_782.png,0.0,2.0,0.0
PAT_368_1652_733.png,0.0,3.0,1.0
PAT_369_755_733.png,0.0,1.0,0.0
PAT_375_764_705.png,0.0,1.0,0.0
PAT_419_833_148.png,0.0,1.0,1.0
PAT_423_839_717.png,0.0,2.0,0.0
PAT_441_2868_663.png,2.0,1.0,0.0
PAT_451_878_634.png,1.0,2.0,0.0
PAT_460_893_307.png,0.0,1.0,1.0
PAT_460_894_401.png,0.0,1.0,0.0
PAT_468_4775_268.png,0.0,1.0,0.0
PAT_503_950_552.png,0.0,1.0,0.0
PAT_513_965_496.png,0.0,1.0,0.0
PAT_514_969_995.png,0.0,4.0,0.0
PAT_539_1023_928.png,0.0,3.0,0.0
PAT_541_3303_228.png,1.0,1.0,0.0
PAT_567_1077_64.png,0.0,1.0,0.0
PAT_568_1066_235.png,0.0,1.0,0.0
PAT_599_1140_399.png,0.0,4.0,0.0
PAT_604_1150_336.png,0.0,1.0,0.0
PAT_626_1186_898.png,0.0,1.0,0.0
PAT_628_1191_564.png,0.0,1.0,0.0
PAT_631_1207_982.png,0.0,1.0,0.0
PAT_660_1249_373.png,0.0,1.0,0.0
PAT_677_1350_358.png,1.0,1.0,1.0
PAT_684_1302_934.png,0.0,1.0,0.0
PAT_686_1355_168.png,0.0,3.0,0.0
PAT_710_1330_243.png,0.0,3.0,0.0
PAT_719_1361_160.png,0.0,4.0,0.0
PAT_756_1496_599.png,0.0,1.0,0.0
PAT_771_1489_70.png,0.0,4.0,0.0
PAT_779_1472_741.png,0.0,1.0,0.0
PAT_798_1772_469.png,2.0,1.0,0.0
PAT_800_1513_509.png,0.0,1.0,0.0
PAT_815_1533_460.png,1.0,1.0,0.0
PAT_829_1566_135.png,0.0,1.0,0.0
PAT_830_1565_911.png,0.0,1.0,0.0
PAT_834_1572_430.png,1.0,1.0,0.0
PAT_837_1583_124.png,0.0,1.0,0.0
PAT_867_1650_825.png,0.0,1.0,0.0
PAT_874_1672_743.png,0.0,1.0,0.0
PAT_883_1682_256.png,0.0,1.0,0.0
PAT_906_1722_328.png,0.0,4.0,0.0
PAT_915_1738_667.png,0.0,1.0,0.0
PAT_1151_551_241.png,0.0,2.0,0.0
PAT_1161_578_233.png,0.0,1.0,0.0
PAT_1222_767_519.png,0.0,1.0,0.0
PAT_1245_844_471.png,0.0,1.0,0.0
PAT_1247_852_178.png,0.0,1.0,0.0
PAT_1282_978_328.png,1.0,1.0,0.0
PAT_1299_1055_591.png,0.0,2.0,0.0
PAT_1312_1102_578.png,0.0,1.0,0.0
PAT_1320_1135_471.png,0.0,1.0,0.0
PAT_1326_1156_783.png,0.0,1.0,0.0
PAT_1364_1246_238.png,0.0,1.0,0.0
PAT_1379_1300_924.png,0.0,1.0,0.0
PAT_1428_1489_454.png,1.0,1.0,0.0
PAT_1439_1522_320.png,0.0,1.0,1.0
PAT_1443_1536_166.png,0.0,1.0,0.0
PAT_1534_1810_719.png,0.0,1.0,0.0
PAT_1538_1830_693.png,0.0,1.0,0.0
PAT_1554_2393_541.png,0.0,2.0,0.0
PAT_1572_2494_224.png,0.0,2.0,0.0
PAT_1581_2570_738.png,0.0,1.0,0.0
PAT_1594_2656_679.png,0.0,1.0,0.0
PAT_1596_2664_323.png,1.0,1.0,0.0
PAT_1636_2869_739.png,0.0,1.0,0.0
PAT_1653_2916_994.png,0.0,1.0,0.0
PAT_1680_3038_587.png,0.0,1.0,0.0
PAT_1694_3110_213.png,0.0,1.0,0.0
PAT_1718_3202_152.png,0.0,1.0,0.0
PAT_1721_3219_130.png,0.0,4.0,0.0
PAT_1730_3236_201.png,0.0,4.0,0.0
PAT_1765_3337_365.png,0.0,2.0,0.0
PAT_1783_3413_850.png,0.0,3.0,0.0
PAT_1786_3420_346.png,0.0,1.0,0.0
PAT_1810_3484_347.png,0.0,2.0,0.0
PAT_1811_3487_560.png,1.0,1.0,0.0
PAT_1833_3599_827.png,0.0,1.0,0.0
PAT_1869_3663_335.png,0.0,4.0,0.0
PAT_1906_3798_588.png,0.0,1.0,0.0
PAT_1940_3901_900.png,0.0,3.0,0.0
PAT_2016_4155_600.png,0.0,4.0,0.0
PAT_2018_4167_11.png,1.0,4.0,0.0
PAT_2046_4323_762.png,2.0,3.0,0.0
PAT_2056_4364_112.png,0.0,4.0,0.0
PAT_2115_4613_260.png,0.0,1.0,0.0
PAT_2159_4792_718.png,0.0,1.0,0.0
